frame,Easting,Northing,Heading,Pitch,Roll
12800,376066.95196,6398471.2192,15.728496469,-0.3135723105,-4.61977771
12801,376067.34509,6398472.4693,15.6831860467,-0.335456995,-4.6407439627
12802,376067.73713,6398473.7164,15.6371231631,-0.3315125594,-4.6055579356
12803,376068.32093,6398475.5846,15.5870854775,-0.347663698,-4.6069906319
12804,376068.70903,6398476.8279,15.5346220029,-0.3540053377,-4.6100195969
12805,376069.28862,6398478.691,15.454683388,-0.3810136517,-4.6077985153
12806,376069.67306,6398479.932,15.3995543022,-0.4065627317,-4.5985684475
12807,376070.05682,6398481.1718,15.3424633028,-0.4117389307,-4.60471856
12808,376070.62883,6398483.0306,15.2509203126,-0.4259600152,-4.6063223049
12809,376071.00791,6398484.2696,15.2033792209,-0.453059295,-4.597506375
12810,376071.57507,6398486.1264,15.122935326,-0.4508971054,-4.5809978729
12811,376071.95032,6398487.3649,15.0864714895,-0.4788552069,-4.5904748292
12812,376072.32528,6398488.6026,15.0375367129,-0.4850415237,-4.5646095042
12813,376072.88658,6398490.4625,14.9507277983,-0.511111593,-4.5680009423
12814,376073.26082,6398491.7048,14.8879451058,-0.5391554023,-4.5294244271
12815,376073.81905,6398493.5731,14.801539578,-0.5529386498,-4.5376882276
12816,376074.19026,6398494.8219,14.7521595117,-0.5530076536,-4.5465812074
12817,376074.56197,6398496.0733,14.6975854631,-0.5503235043,-4.5534799435
12818,376075.11698,6398497.9555,14.6376110269,-0.5481800518,-4.5751540962
12819,376075.48694,6398499.2134,14.5903052339,-0.546006717,-4.5696886491
12820,376075.85623,6398500.4736,14.5408123919,-0.5287157106,-4.5762120591
12821,376076.41016,6398502.368,14.4424260198,-0.5173822063,-4.5725696122
12822,376076.77779,6398503.6341,14.4093424795,-0.5249980225,-4.5572223333
12823,376077.32867,6398505.5363,14.3208042145,-0.5440037315,-4.5768940823
12824,376077.69494,6398506.8049,14.2883082438,-0.5368898774,-4.5602715429
12825,376078.05925,6398508.0733,14.2204059405,-0.541026585,-4.5680900486
12826,376078.60507,6398509.9734,14.1533237642,-0.5323046757,-4.5348798766
12827,376078.96541,6398511.2392,14.096901466,-0.5473002889,-4.562877305
12828,376079.32321,6398512.5017,14.0489767028,-0.5506754665,-4.5809007045
12829,376079.85819,6398514.3876,13.9518815855,-0.5298123731,-4.546000533
12830,376080.21069,6398515.6411,13.9014187862,-0.5305028925,-4.563220115
12831,376080.56013,6398516.8906,13.8673152903,-0.5403223817,-4.5718191346
12832,376081.08185,6398518.7563,13.7790104489,-0.5793348154,-4.5589335026
12833,376081.4257,6398519.9946,13.7355573297,-0.5781962666,-4.5699862404
12834,376081.9379,6398521.8422,13.6605021978,-0.5425467027,-4.5567520411
12835,376082.27617,6398523.0683,13.6091892314,-0.5029197782,-4.5473843578
12836,376082.77847,6398524.9008,13.5404480117,-0.5137597957,-4.5819148398
12837,376083.11213,6398526.1164,13.4805798771,-0.5336788143,-4.5698084731
12838,376083.60602,6398527.9307,13.4175888219,-0.5301527177,-4.555891908
12839,376083.93301,6398529.1351,13.3629970482,-0.538110661,-4.5536456177
12840,376084.4179,6398530.9329,13.3032835916,-0.5012979637,-4.5502990286
12841,376084.73869,6398532.1268,13.2537372249,-0.5031615685,-4.5348241846
12842,376085.21856,6398533.9145,13.1811004989,-0.4897007122,-4.5070756389
12843,376085.53597,6398535.1058,13.1366477487,-0.4761766978,-4.5135210281
12844,376086.01183,6398536.8954,13.0521676492,-0.500845327,-4.4945502352
12845,376086.32821,6398538.0901,12.9982282221,-0.5133189133,-4.4922921266
12846,376086.80068,6398539.8839,12.9033912087,-0.5098167706,-4.5080863797
12847,376087.11354,6398541.0815,12.8502456249,-0.5149730471,-4.5072070901
12848,376087.57997,6398542.8801,12.79177552,-0.4829174776,-4.5556848319
12849,376087.89111,6398544.081,12.7491998031,-0.4946067904,-4.5726098249
12850,376088.35523,6398545.8847,12.6984327403,-0.5245874322,-4.6041474548
12851,376088.66468,6398547.0878,12.6445742314,-0.5290883834,-4.6105438376
12852,376089.12799,6398548.8939,12.5831787755,-0.5307422648,-4.6084886223
12853,376089.43491,6398550.0991,12.5325098964,-0.5408309089,-4.6266093257
12854,376089.89571,6398551.9064,12.4505622921,-0.531359186,-4.5945135551
12855,376090.20033,6398553.1124,12.409133711,-0.5501545481,-4.6090756108
12856,376090.6569,6398554.9187,12.3159340711,-0.5470199957,-4.5849629752
12857,376090.95865,6398556.1217,12.2753327544,-0.5380138713,-4.5762921514
12858,376091.40979,6398557.9255,12.1847496059,-0.5443713624,-4.5832082482
12859,376091.70797,6398559.1258,12.1324856546,-0.5391517916,-4.5822245137
12860,376092.15122,6398560.9227,12.0649384498,-0.5542965597,-4.5910936236
12861,376092.44567,6398562.1173,11.9986074324,-0.5617625604,-4.5973549389
12862,376092.88147,6398563.9041,11.9612006453,-0.5530050869,-4.6105861246
12863,376093.17099,6398565.0914,11.9118323428,-0.5696910381,-4.6088867593
12864,376093.60189,6398566.8654,11.8554593504,-0.5603469941,-4.6031543852
12865,376093.88639,6398568.0428,11.8117536921,-0.5393480515,-4.5990580174
12866,376094.31065,6398569.8027,11.7365119482,-0.5508342752,-4.5795668581
12867,376094.7325,6398571.5531,11.6665996442,-0.5376033959,-4.5625357077
12868,376095.00942,6398572.7145,11.6202143388,-0.5060363247,-4.5583548152
12869,376095.42248,6398574.4497,11.5141698583,-0.5030267589,-4.55060566
12870,376095.69616,6398575.6,11.4293238621,-0.4601544316,-4.5336243778
12871,376096.09664,6398577.3182,11.3610110346,-0.3882143889,-4.6140764595
12872,376096.49512,6398579.0255,11.299097585,-0.3400823856,-4.5732560966
12873,376096.75637,6398580.1588,11.2752196328,-0.3374692923,-4.5994138935
12874,376097.14801,6398581.8486,11.2403747856,-0.3621059911,-4.5398010788
12875,376097.53436,6398583.5276,11.1829352947,-0.3999069229,-4.5331152607
12876,376097.79108,6398584.6393,11.1232657954,-0.3831597611,-4.4894119216
12877,376098.17188,6398586.2974,10.9958527669,-0.339117858,-4.4368684413
12878,376098.54263,6398587.946,10.9245919622,-0.294631812,-4.5027649126
12879,376098.91132,6398589.5838,10.8804971774,-0.2994162846,-4.504353543
12880,376099.272,6398591.2083,10.8430788759,-0.3471445914,-4.5813657494
12881,376099.51148,6398592.2765,10.8097066862,-0.3242105859,-4.5609850415
12882,376099.86319,6398593.8549,10.7446124809,-0.3040820701,-4.5594015117
12883,376100.20671,6398595.4026,10.6807389936,-0.2747384108,-4.5391694319
12884,376100.54157,6398596.9199,10.6217548782,-0.2888671789,-4.5497292354
12885,376100.86499,6398598.4016,10.5720773232,-0.3643394149,-4.5966487603
12886,376101.28479,6398600.3075,10.4648516047,-0.391745477,-4.5304284574
12887,376101.58418,6398601.6838,10.3865097405,-0.3456650258,-4.5538096241
12888,376101.87345,6398603.0158,10.3218592332,-0.2903651804,-4.5224090704
12889,376102.2407,6398604.7261,10.2792140465,-0.2067387166,-4.5380054337
12890,376102.58756,6398606.3603,10.2415786777,-0.2130770351,-4.561840635
12891,376102.91627,6398607.9115,10.1856151571,-0.2335636639,-4.615378316
12892,376103.22701,6398609.3818,10.1224414436,-0.3440923145,-4.6529868306
12893,376103.51589,6398610.7436,10.0363726596,-0.3828196746,-4.6611009761
12894,376103.83565,6398612.271,9.9835748799,-0.4195223802,-4.6899498594
12895,376104.16755,6398613.8553,9.9255964463,-0.3904591851,-4.670159699
12896,376104.50061,6398615.4572,9.8721507364,-0.307847541,-4.676152233
12897,376104.82114,6398617.0015,9.8326051103,-0.2435246066,-4.6781543028
12898,376105.12485,6398618.4681,9.7847188795,-0.2080253502,-4.6789838244
12899,376105.45445,6398620.0562,9.723615175,-0.2396109499,-4.6816667919
